Mot	CompteLocal	CompteGlobal	Différence	Lafon
移	12	2	10	7.6198
帮助	42	8	34	6.6674
手	18	6	12	3.8099
悖	2	1	1	2.5399
存在主义	12	6	6	2.5399
词条	36	18	18	2.5399
獨立	12	6	6	2.5399
世纪	22	11	11	2.5399
1释义	12	6	6	2.5399
p	8	4	4	2.5399
☆	40	20	20	2.5399
全站	36	18	18	2.5399
域	12	6	6	2.5399
音	12	6	6	2.5399
拼	12	6	6	2.5399
代	14	8	6	2.2225
侧栏	30	18	12	2.1166
戰爭	12	8	4	1.9050
搜索	78	56	22	1.7689
名	24	18	6	1.6933
義	24	18	6	1.6933
隐藏	24	18	6	1.6933
中文	24	18	6	1.6933
外文名	30	24	6	1.5875
汉语	29	24	5	1.5346
展示	6	5	1	1.5240
x	20	17	3	1.4941
题	14	12	2	1.4816
自由市	14	12	2	1.4816
思维	14	12	2	1.4816
自由市场	14	12	2	1.4816
人物	14	12	2	1.4816
0	18	16	2	1.4287
宣言	22	20	2	1.3970
大革命	20	19	1	1.3368
科学	6	6	0	1.2700
全人类	6	6	0	1.2700
难	6	6	0	1.2700
补	6	6	0	1.2700
预定论	6	6	0	1.2700
法庭	2	2	0	1.2700
學派	6	6	0	1.2700
二月	6	6	0	1.2700
伊	6	6	0	1.2700
想到	6	6	0	1.2700
清蒲	1	1	0	1.2700
地區	6	6	0	1.2700
坚	6	6	0	1.2700
启蒙运动	6	6	0	1.2700
界定	6	6	0	1.2700
逐步	6	6	0	1.2700
奥古斯丁	6	6	0	1.2700
最终	6	6	0	1.2700
老年人	1	1	0	1.2700
完	6	6	0	1.2700
偏	12	12	0	1.2700
患者	6	6	0	1.2700
干预	4	4	0	1.2700
優惠	6	6	0	1.2700
經	12	12	0	1.2700
词本	2	2	0	1.2700
追问什	6	6	0	1.2700
計划	6	6	0	1.2700
养	6	6	0	1.2700
周海	6	6	0	1.2700
伤害	6	6	0	1.2700
然	6	6	0	1.2700
數派	8	8	0	1.2700
追究	2	2	0	1.2700
注定	6	6	0	1.2700
确立	6	6	0	1.2700
背叛	6	6	0	1.2700
主权	6	6	0	1.2700
亨利	6	6	0	1.2700
choice	12	12	0	1.2700
冯契写道	6	6	0	1.2700
逮捕	6	6	0	1.2700
灭	6	6	0	1.2700
然性	2	2	0	1.2700
歡愉	6	6	0	1.2700
辩证	2	2	0	1.2700
自由观	6	6	0	1.2700
一举一动	6	6	0	1.2700
通	6	6	0	1.2700
敌视国	6	6	0	1.2700
殘酷	6	6	0	1.2700
态度	8	8	0	1.2700
參政	1	1	0	1.2700
态	2	2	0	1.2700
科	6	6	0	1.2700
合国	2	2	0	1.2700
含	6	6	0	1.2700
总体	2	2	0	1.2700
程	6	6	0	1.2700
类型	6	6	0	1.2700
權威	2	2	0	1.2700
實面	6	6	0	1.2700
暴力	2	2	0	1.2700
外在	6	6	0	1.2700
扭曲	8	8	0	1.2700
稱為福	6	6	0	1.2700
立	12	12	0	1.2700
─┤	12	12	0	1.2700
緣起法	1	1	0	1.2700
唯心主义	12	12	0	1.2700
干扰	6	6	0	1.2700
联合国	2	2	0	1.2700
提示	6	6	0	1.2700
负责	2	2	0	1.2700
宿命论	6	6	0	1.2700
引入	6	6	0	1.2700
意識型	6	6	0	1.2700
鬆散	6	6	0	1.2700
應減	6	6	0	1.2700
本性	6	6	0	1.2700
这儿	6	6	0	1.2700
承認	6	6	0	1.2700
实施	4	4	0	1.2700
用作	6	6	0	1.2700
把握	6	6	0	1.2700
賺錢	6	6	0	1.2700
1947年	6	6	0	1.2700
一種德性	1	1	0	1.2700
每	6	6	0	1.2700
论述	6	6	0	1.2700
參見	6	6	0	1.2700
情緒病	6	6	0	1.2700
徒当然	6	6	0	1.2700
與強	2	2	0	1.2700
无	48	48	0	1.2700
享受	6	6	0	1.2700
信	4	4	0	1.2700
現象	1	1	0	1.2700
晋袁宏	2	2	0	1.2700
日語	6	6	0	1.2700
范式	2	2	0	1.2700
分类	10	10	0	1.2700
唯心	6	6	0	1.2700
整个	6	6	0	1.2700
舉例	12	12	0	1.2700
帝國	6	6	0	1.2700
還沒	6	6	0	1.2700
扼杀	6	6	0	1.2700
對戰爭	6	6	0	1.2700
樣	6	6	0	1.2700
酷刑	6	6	0	1.2700
140	1	1	0	1.2700
西	6	6	0	1.2700
形而上学	6	6	0	1.2700
1789年	6	6	0	1.2700
处	4	4	0	1.2700
確認	6	6	0	1.2700
有着	6	6	0	1.2700
发	12	12	0	1.2700
资本	6	6	0	1.2700
為意願	6	6	0	1.2700
培养	6	6	0	1.2700
Yellow	6	6	0	1.2700
範圍	6	6	0	1.2700
味	6	6	0	1.2700
社會現	6	6	0	1.2700
拘禁	6	6	0	1.2700
专制者	6	6	0	1.2700
故事	6	6	0	1.2700
英国	6	6	0	1.2700
组建	6	6	0	1.2700
群特權	2	2	0	1.2700
状	1	1	0	1.2700
著長期	6	6	0	1.2700
總統	6	6	0	1.2700
恩格斯	6	6	0	1.2700
自由度	6	6	0	1.2700
进步	4	4	0	1.2700
聽	6	6	0	1.2700
主張若決	2	2	0	1.2700
马	6	6	0	1.2700
走极端	6	6	0	1.2700
此时	2	2	0	1.2700
记者	12	12	0	1.2700
氛围	6	6	0	1.2700
體	6	6	0	1.2700
平民化	6	6	0	1.2700
高尚	12	12	0	1.2700
议会	6	6	0	1.2700
犯	6	6	0	1.2700
面壁	6	6	0	1.2700
恢復	6	6	0	1.2700
傾向	2	2	0	1.2700
自願	6	6	0	1.2700
神祇	6	6	0	1.2700
纽带	6	6	0	1.2700
屬美洲	6	6	0	1.2700
自由女神	12	12	0	1.2700
意指	6	6	0	1.2700
联网	6	6	0	1.2700
力	6	6	0	1.2700
左	12	12	0	1.2700
普通法	6	6	0	1.2700
进	12	12	0	1.2700
一派	6	6	0	1.2700
生长	2	2	0	1.2700
张扬	2	2	0	1.2700
舉動	2	2	0	1.2700
借	6	6	0	1.2700
flag	6	6	0	1.2700
大地	6	6	0	1.2700
纵视	6	6	0	1.2700
百度	18	18	0	1.2700
1946年	2	2	0	1.2700
死刑	2	2	0	1.2700
背	6	6	0	1.2700
鸿沟	6	6	0	1.2700
指数	6	6	0	1.2700
Kane	6	6	0	1.2700
手工	6	6	0	1.2700
宿命	2	2	0	1.2700
干	6	6	0	1.2700
調節	2	2	0	1.2700
公	6	6	0	1.2700
仍旧	6	6	0	1.2700
唯物主义	12	12	0	1.2700
华盛顿	6	6	0	1.2700
印度教	6	6	0	1.2700
主动性	2	2	0	1.2700
21	3	3	0	1.2700
先天	12	12	0	1.2700
马尔库斯	2	2	0	1.2700
侈	6	6	0	1.2700
新手	2	2	0	1.2700
运动	4	4	0	1.2700
储安平	2	2	0	1.2700
解	4	4	0	1.2700
則為	6	6	0	1.2700
缺陷	6	6	0	1.2700
所有成	2	2	0	1.2700
說法	6	6	0	1.2700
ALDE	6	6	0	1.2700
反君主主义	6	6	0	1.2700
隱私	12	12	0	1.2700
主義卻	2	2	0	1.2700
事業	6	6	0	1.2700
集體	2	2	0	1.2700
了解	4	4	0	1.2700
制多	8	8	0	1.2700
反应	2	2	0	1.2700
天主	12	12	0	1.2700
定论者	6	6	0	1.2700
education	12	12	0	1.2700
完美	8	8	0	1.2700
不可方物	6	6	0	1.2700
發生	2	2	0	1.2700
國籍	12	12	0	1.2700
宪政主义	6	6	0	1.2700
匱乏	6	6	0	1.2700
公正	6	6	0	1.2700
松龄	1	1	0	1.2700
土地	6	6	0	1.2700
視資	6	6	0	1.2700
諧	1	1	0	1.2700
国界	12	12	0	1.2700
─┼	6	6	0	1.2700
抑制	6	6	0	1.2700
News	6	6	0	1.2700
系列	6	6	0	1.2700
則產	6	6	0	1.2700
上路	2	2	0	1.2700
時常	6	6	0	1.2700
发布	6	6	0	1.2700
配	6	6	0	1.2700
孟德斯鸠	6	6	0	1.2700
刑罰	6	6	0	1.2700
達	6	6	0	1.2700
应有	6	6	0	1.2700
相等	1	1	0	1.2700
扮演	6	6	0	1.2700
變	6	6	0	1.2700
放弃	6	6	0	1.2700
依賴	2	2	0	1.2700
數族	2	2	0	1.2700
Stewardship	6	6	0	1.2700
壁鸠	6	6	0	1.2700
義號	4	4	0	1.2700
君主立宪制	6	6	0	1.2700
面前	12	12	0	1.2700
下半叶	6	6	0	1.2700
约束	2	2	0	1.2700
防御	2	2	0	1.2700
CALD	6	6	0	1.2700
求	6	6	0	1.2700
發表	2	2	0	1.2700
占据	6	6	0	1.2700
剥削	2	2	0	1.2700
LGBT權利	12	12	0	1.2700
实事求是	6	6	0	1.2700
極大	6	6	0	1.2700
闪现	6	6	0	1.2700
用以	6	6	0	1.2700
提倡者	12	12	0	1.2700
维基百科	6	6	0	1.2700
环境	6	6	0	1.2700
手段	2	2	0	1.2700
转换	6	6	0	1.2700
哪	6	6	0	1.2700
為國	6	6	0	1.2700
員國	2	2	0	1.2700
主題	6	6	0	1.2700
罗斯福	6	6	0	1.2700
活動	6	6	0	1.2700
優先	6	6	0	1.2700
詞彙	2	2	0	1.2700
礎	6	6	0	1.2700
议题	2	2	0	1.2700
乔治主义	6	6	0	1.2700
崇拜	6	6	0	1.2700
失業率	2	2	0	1.2700
結婚	12	12	0	1.2700
據	6	6	0	1.2700
分裂	6	6	0	1.2700
義者	12	12	0	1.2700
恒常	6	6	0	1.2700
接受者	2	2	0	1.2700
本來	2	2	0	1.2700
相連	6	6	0	1.2700
积	12	12	0	1.2700
人身自由	18	18	0	1.2700
入	6	6	0	1.2700
time	6	6	0	1.2700
奧地利	6	6	0	1.2700
无疑	6	6	0	1.2700
全球性	6	6	0	1.2700
案則	6	6	0	1.2700
某事	6	6	0	1.2700
開放	2	2	0	1.2700
resize	6	6	0	1.2700
張相	2	2	0	1.2700
匯率	2	2	0	1.2700
有力	6	6	0	1.2700
中性词	2	2	0	1.2700
斯主義	6	6	0	1.2700
自行	2	2	0	1.2700
民	38	40	-2	1.2065
重	22	24	-2	1.1641
非決定	10	11	-1	1.1545
贝克	10	11	-1	1.1545
毕达哥拉斯	10	11	-1	1.1545
實現	10	11	-1	1.1545
應負	10	11	-1	1.1545
思	10	11	-1	1.1545
欧洲	10	11	-1	1.1545
仅仅	10	11	-1	1.1545
戀愛	32	36	-4	1.1289
安全	8	9	-1	1.1289
穆勒	14	16	-2	1.1112
奴役	28	32	-4	1.1112
进入	26	30	-4	1.1006
of	62	72	-10	1.0936
转载	12	14	-2	1.0885
本文	6	7	-1	1.0885
態度	6	7	-1	1.0885
生存	50	59	-9	1.0762
免於	66	78	-12	1.0746
●	42	50	-8	1.0668
产生	50	60	-10	1.0583
禁锢	5	6	-1	1.0583
度	10	12	-2	1.0583
信任	20	24	-4	1.0583
迁徙	60	72	-12	1.0583
市場	20	24	-4	1.0583
处于	20	24	-4	1.0583
］	5	6	-1	1.0583
提要	10	12	-2	1.0583
言	20	24	-4	1.0583
其中	20	24	-4	1.0583
相容论	20	24	-4	1.0583
出入境	20	24	-4	1.0583
软件	20	24	-4	1.0583
結社	104	125	-21	1.0566
自由主义	152	183	-31	1.0548
法国	34	41	-7	1.0531
天地	34	41	-7	1.0531
至	68	82	-14	1.0531
接	24	29	-5	1.0510
法國	24	29	-5	1.0510
組織	24	29	-5	1.0510
相反	28	34	-6	1.0459
集會	74	90	-16	1.0442
主义	18	22	-4	1.0391
同意	72	88	-16	1.0391
目	40	49	-9	1.0367
词语	24	30	-6	1.0160
错误	4	5	-1	1.0160
掛勾	4	5	-1	1.0160
蔡元培	4	5	-1	1.0160
題事	4	5	-1	1.0160
性別	4	5	-1	1.0160
毒品	4	5	-1	1.0160
認知	16	20	-4	1.0160
平衡點	4	5	-1	1.0160
私有化	4	5	-1	1.0160
軍隊	4	5	-1	1.0160
斯米茨	4	5	-1	1.0160
互相	4	5	-1	1.0160
至于	4	5	-1	1.0160
特權	4	5	-1	1.0160
阻止	4	5	-1	1.0160
傷害	4	5	-1	1.0160
補貼	4	5	-1	1.0160
這派	4	5	-1	1.0160
憧憬	4	5	-1	1.0160
權力	4	5	-1	1.0160
國教	4	5	-1	1.0160
德国	4	5	-1	1.0160
干預	4	5	-1	1.0160
間尋	4	5	-1	1.0160
妥瑞症	4	5	-1	1.0160
差异	4	5	-1	1.0160
制定	4	5	-1	1.0160
福音书	4	5	-1	1.0160
后续	4	5	-1	1.0160
1718年	8	10	-2	1.0160
壓力	4	5	-1	1.0160
2019年	4	5	-1	1.0160
伊斯兰教	4	5	-1	1.0160
当时	16	20	-4	1.0160
名称	4	5	-1	1.0160
這個問	4	5	-1	1.0160
引發	4	5	-1	1.0160
少	16	20	-4	1.0160
愿	4	5	-1	1.0160
党	4	5	-1	1.0160
联	4	5	-1	1.0160
共产主义	4	5	-1	1.0160
缘起法	4	5	-1	1.0160
哈	4	5	-1	1.0160
規模	4	5	-1	1.0160
引起	4	5	-1	1.0160
篇	4	5	-1	1.0160
比方	4	5	-1	1.0160
共和党	4	5	-1	1.0160
之所以	4	5	-1	1.0160
找	4	5	-1	1.0160
组成部分	4	5	-1	1.0160
類意識	4	5	-1	1.0160
［	8	10	-2	1.0160
知	4	5	-1	1.0160
参见贡斯当	4	5	-1	1.0160
服務	16	20	-4	1.0160
形	4	5	-1	1.0160
狀況	4	5	-1	1.0160
國有化	4	5	-1	1.0160
擁護者	4	5	-1	1.0160
介入	4	5	-1	1.0160
此外	4	5	-1	1.0160
富兰克林	4	5	-1	1.0160
常備	4	5	-1	1.0160
自由民主	4	5	-1	1.0160
極具	4	5	-1	1.0160
文件	4	5	-1	1.0160
末	4	5	-1	1.0160
馬爾庫斯	4	5	-1	1.0160
強迫	4	5	-1	1.0160
進	4	5	-1	1.0160
顯而易見	4	5	-1	1.0160
水平	4	5	-1	1.0160
倘若	4	5	-1	1.0160
宏观	4	5	-1	1.0160
强迫	12	15	-3	1.0160
语	4	5	-1	1.0160
常人	4	5	-1	1.0160
負	4	5	-1	1.0160
摩尔	4	5	-1	1.0160
取代	4	5	-1	1.0160
非集體	4	5	-1	1.0160
結盟	4	5	-1	1.0160
恒知	4	5	-1	1.0160
样	4	5	-1	1.0160
批評者	16	20	-4	1.0160
观察	4	5	-1	1.0160
兩者	4	5	-1	1.0160
毛澤東	4	5	-1	1.0160
学术	62	78	-16	1.0095
之中	46	58	-12	1.0072
互联网	38	48	-10	1.0054
百科全书	76	96	-20	1.0054
）	486	614	-128	1.0052
□	144	182	-38	1.0048
自由	2904	3688	-784	1.0000
•	2448	3110	-662	0.9996
由	118	150	-32	0.9990
右派	22	28	-6	0.9978
實	22	28	-6	0.9978
地位	18	23	-5	0.9939
生命	36	46	-10	0.9939
任	18	23	-5	0.9939
越是	18	23	-5	0.9939
革命	36	46	-10	0.9939
強烈	18	23	-5	0.9939
档案馆	36	46	-10	0.9939
歧視	18	23	-5	0.9939
方式	18	23	-5	0.9939
力量	32	41	-9	0.9912
之类	14	18	-4	0.9878
出现	14	18	-4	0.9878
門檻	14	18	-4	0.9878
場	14	18	-4	0.9878
%	14	18	-4	0.9878
接受	42	54	-12	0.9878
書	14	18	-4	0.9878
當	14	18	-4	0.9878
颗	14	18	-4	0.9878
目标	14	18	-4	0.9878
德观	14	18	-4	0.9878
與社	14	18	-4	0.9878
括道德觀	14	18	-4	0.9878
大都	14	18	-4	0.9878
其他人	14	18	-4	0.9878
標準	14	18	-4	0.9878
Morphological	28	36	-8	0.9878
某些	14	18	-4	0.9878
icon	28	36	-8	0.9878
别	14	18	-4	0.9878
環境	14	18	-4	0.9878
观	14	18	-4	0.9878
建造	14	18	-4	0.9878
